노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,39.8000,35.264945567,127.407070775,237040.670257,296564.714506
0270,순천완주선,39.9000,35.265799437,127.406719385,237008.307709,296659.317084
0270,순천완주선,40.0000,35.266668812,127.406429987,236981.579508,296755.663260
0270,순천완주선,40.1000,35.267550669,127.406203589,236960.578643,296853.417787
0270,순천완주선,40.2000,35.268441939,127.406040981,236945.378208,296952.240503
0270,순천완주선,40.3000,35.269339478,127.405941959,236935.960854,297051.782306
0270,순천완주선,40.4000,35.270239949,127.405895948,236931.365687,297151.669328
0270,순천완주선,40.5000,35.271141206,127.405885004,236929.960879,297251.656522
0270,순천완주선,40.6000,35.272042514,127.405890936,236930.091508,297351.655624
0270,순천완주선,40.7000,35.272943810,127.405899283,236930.441925,297451.654423
0270,순천완주선,40.8000,35.273845106,127.405907631,236930.792351,297551.653212
0270,순천완주선,40.9000,35.274746402,127.405915979,236931.142768,297651.652016
0270,순천완주선,41.0000,35.275647705,127.405922035,236931.284637,297751.650683
0270,순천완주선,41.1000,35.276548733,127.405896523,236928.554472,297851.607171
0270,순천완주선,41.2000,35.277448379,127.405830566,236922.145357,297951.395322
0270,순천완주선,41.3000,35.278345424,127.405724253,236912.065972,298050.879784
0270,순천완주선,41.4000,35.279238649,127.405577726,236898.330009,298149.925610
0270,순천완주선,41.5000,35.280126844,127.405391184,236880.956082,298248.398445
0270,순천완주선,41.6000,35.281008803,127.405164877,236859.967767,298346.164714
0270,순천완주선,41.7000,35.281883329,127.404899112,236835.393539,298443.091797
0270,순천완주선,41.8000,35.282744901,127.404595879,236807.417178,298538.567732
0270,순천완주선,41.9000,35.283601067,127.404252522,236775.793526,298633.429187
0270,순천완주선,42.0000,35.284446284,127.403870940,236740.698133,298727.061798
0270,순천완주선,42.1000,35.285279404,127.403451651,236702.178610,298819.338545
0270,순천완주선,42.2000,35.286099298,127.402995222,236660.287199,298910.134271
0270,순천완주선,42.3000,35.286904852,127.402502271,236615.080740,298999.325788
0270,순천완주선,42.4000,35.287694973,127.401973466,236566.620518,299086.792134
0270,순천완주선,42.5000,35.288468590,127.401409524,236514.972320,299172.414656
0270,순천완주선,42.6000,35.289225022,127.400811883,236460.267327,299256.118417
0270,순천완주선,42.7000,35.289964081,127.400182660,236402.698224,299337.883528
0270,순천완주선,42.8000,35.290700633,127.399549059,236344.733075,299419.369268
0270,순천완주선,42.9000,35.291437182,127.398915447,236286.767925,299500.854992
0270,순천완주선,43.0000,35.292173727,127.398281824,236228.802776,299582.340723
0270,순천완주선,43.1000,35.292910270,127.397648189,236170.837626,299663.826446
0270,순천완주선,43.2000,35.293646809,127.397014542,236112.872477,299745.312186
0270,순천완주선,43.3000,35.294383344,127.396380884,236054.907327,299826.797910
0270,순천완주선,43.4000,35.295119877,127.395747215,235996.942139,299908.283679
